review_id,date,department,rating,review_text,sentiment_score,sentiment_label
2,2024-01-02,Housekeeping,5,Check-in was fast and seamless regarding housekeeping.,1.0,Positive
53,2024-01-02,Front Desk,4,Room was spotless and beautifully maintained regarding front desk. Thank you to the team.,1.0,Positive
438,2024-01-02,F&B / Restaurant,5,The spa treatment was relaxing and professional regarding f&b / restaurant.,1.0,Positive
384,2024-01-03,Spa & Wellness,1,Billing error took days to resolve regarding spa & wellness. Thank you to the team.,0.0,Neutral
531,2024-01-03,Housekeeping,4,Concierge went above and beyond to help us regarding housekeeping.,0.0,Neutral
127,2024-01-06,Front Desk,3,"Stay was fine, nothing particularly memorable regarding front desk. Thank you to the team.",1.0,Positive
178,2024-01-07,Spa & Wellness,4,Breakfast selection was excellent and fresh regarding spa & wellness. Overall a decent trip.,1.0,Positive
399,2024-01-07,Spa & Wellness,5,Breakfast selection was excellent and fresh regarding spa & wellness. Overall a decent trip.,1.0,Positive
577,2024-01-07,Housekeeping,3,"Room was okay, standard hotel amenities regarding housekeeping. Will definitely consider staying again.",0.0,Neutral
94,2024-01-08,F&B / Restaurant,5,Loved the attention to detail in the room regarding f&b / restaurant.,1.0,Positive
330,2024-01-08,F&B / Restaurant,5,Concierge went above and beyond to help us regarding f&b / restaurant. Thank you to the team.,1.0,Positive
59,2024-01-08,F&B / Restaurant,4,Room was spotless and beautifully maintained regarding f&b / restaurant. Thank you to the team.,1.0,Positive
71,2024-01-10,Concierge,1,Room was not properly cleaned upon arrival regarding concierge.,-1.0,Negative
29,2024-01-10,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant.",0.0,Neutral
56,2024-01-12,F&B / Restaurant,1,Staff seemed inattentive and slow to respond regarding f&b / restaurant.,-1.0,Negative
250,2024-01-13,Housekeeping,3,"Average experience overall, met basic expectations regarding housekeeping. Overall a decent trip.",0.0,Neutral
448,2024-01-13,Spa & Wellness,2,Check-in took far too long and felt disorganized regarding spa & wellness. Thank you to the team.,-0.333,Negative
188,2024-01-13,Concierge,4,"Beautiful property, exceeded our expectations regarding concierge. Overall a decent trip.",1.0,Positive
258,2024-01-13,Housekeeping,4,"Beautiful property, exceeded our expectations regarding housekeeping.",1.0,Positive
571,2024-01-14,Concierge,5,"Quick response to our requests, very efficient regarding concierge.",1.0,Positive
206,2024-01-16,F&B / Restaurant,1,Towels and toiletries were not restocked regarding f&b / restaurant. Would recommend to others.,-0.333,Negative
368,2024-01-16,Housekeeping,3,"Service was acceptable, no major issues regarding housekeeping.",-1.0,Negative
539,2024-01-17,Concierge,5,"Beautiful property, exceeded our expectations regarding concierge. Would recommend to others.",1.0,Positive
25,2024-01-18,F&B / Restaurant,2,Room was not properly cleaned upon arrival regarding f&b / restaurant. Would recommend to others.,0.0,Neutral
48,2024-01-19,Housekeeping,4,The spa treatment was relaxing and professional regarding housekeeping. Would recommend to others.,1.0,Positive
553,2024-01-19,Spa & Wellness,1,Noise from the hallway disturbed our sleep regarding spa & wellness. Overall a decent trip.,-1.0,Negative
63,2024-01-19,Concierge,1,Towels and toiletries were not restocked regarding concierge.,-1.0,Negative
341,2024-01-20,F&B / Restaurant,2,Long wait times at the restaurant regarding f&b / restaurant. Overall a decent trip.,-1.0,Negative
20,2024-01-20,Concierge,4,Room was spotless and beautifully maintained regarding concierge. Will definitely consider staying again.,1.0,Positive
285,2024-01-21,F&B / Restaurant,1,Breakfast was cold and options were limited regarding f&b / restaurant. Overall a decent trip.,-1.0,Negative
128,2024-01-21,Spa & Wellness,4,"Beautiful property, exceeded our expectations regarding spa & wellness. Will definitely consider staying again.",1.0,Positive
442,2024-01-21,Concierge,3,"Service was acceptable, no major issues regarding concierge.",-1.0,Negative
286,2024-01-21,Housekeeping,3,"Room was okay, standard hotel amenities regarding housekeeping. Would recommend to others.",1.0,Positive
351,2024-01-22,F&B / Restaurant,4,Concierge went above and beyond to help us regarding f&b / restaurant.,0.0,Neutral
563,2024-01-22,Housekeeping,3,"Room was okay, standard hotel amenities regarding housekeeping. Thank you to the team.",1.0,Positive
16,2024-01-22,Spa & Wellness,3,"Average experience overall, met basic expectations regarding spa & wellness.",0.0,Neutral
230,2024-01-23,Housekeeping,1,Long wait times at the restaurant regarding housekeeping. Will definitely consider staying again.,-1.0,Negative
198,2024-01-24,Housekeeping,5,Room was spotless and beautifully maintained regarding housekeeping. Would recommend to others.,1.0,Positive
506,2024-01-25,F&B / Restaurant,5,"Quick response to our requests, very efficient regarding f&b / restaurant.",1.0,Positive
348,2024-01-25,Concierge,3,"Stay was fine, nothing particularly memorable regarding concierge. Would recommend to others.",1.0,Positive
164,2024-01-26,Housekeeping,4,Check-in was fast and seamless regarding housekeeping.,1.0,Positive
131,2024-01-26,Spa & Wellness,5,The staff was incredibly friendly and helpful regarding spa & wellness.,1.0,Positive
207,2024-01-26,Spa & Wellness,4,Breakfast selection was excellent and fresh regarding spa & wellness. Would recommend to others.,1.0,Positive
204,2024-01-27,F&B / Restaurant,5,Loved the attention to detail in the room regarding f&b / restaurant. Thank you to the team.,1.0,Positive
138,2024-01-27,Front Desk,4,The spa treatment was relaxing and professional regarding front desk. Will definitely consider staying again.,1.0,Positive
322,2024-01-28,Front Desk,1,Requested items never arrived at our room regarding front desk. Overall a decent trip.,-1.0,Negative
31,2024-01-29,Concierge,3,"Service was acceptable, no major issues regarding concierge. Will definitely consider staying again.",-1.0,Negative
253,2024-01-30,Spa & Wellness,3,"Stay was fine, nothing particularly memorable regarding spa & wellness. Would recommend to others.",1.0,Positive
129,2024-02-01,Spa & Wellness,5,"Beautiful property, exceeded our expectations regarding spa & wellness. Thank you to the team.",1.0,Positive
425,2024-02-01,Front Desk,5,The staff was incredibly friendly and helpful regarding front desk.,1.0,Positive
266,2024-02-01,Concierge,4,Loved the attention to detail in the room regarding concierge. Would recommend to others.,1.0,Positive
22,2024-02-03,Front Desk,5,Staff greeted us warmly every single day regarding front desk. Will definitely consider staying again.,1.0,Positive
340,2024-02-04,Front Desk,4,Staff greeted us warmly every single day regarding front desk. Thank you to the team.,1.0,Positive
68,2024-02-05,Housekeeping,3,"Service was acceptable, no major issues regarding housekeeping. Thank you to the team.",0.0,Neutral
44,2024-02-05,Concierge,5,"Quick response to our requests, very efficient regarding concierge. Thank you to the team.",1.0,Positive
10,2024-02-05,Housekeeping,4,Concierge went above and beyond to help us regarding housekeeping.,0.0,Neutral
333,2024-02-05,Front Desk,3,"Room was okay, standard hotel amenities regarding front desk. Thank you to the team.",1.0,Positive
335,2024-02-05,Spa & Wellness,1,Air conditioning was not working properly regarding spa & wellness. Will definitely consider staying again.,-1.0,Negative
83,2024-02-05,Concierge,4,Breakfast selection was excellent and fresh regarding concierge. Thank you to the team.,1.0,Positive
321,2024-02-07,Concierge,2,Requested items never arrived at our room regarding concierge.,-1.0,Negative
446,2024-02-08,F&B / Restaurant,3,"Service was acceptable, no major issues regarding f&b / restaurant.",-1.0,Negative
173,2024-02-08,Spa & Wellness,3,"Location was convenient, hotel was as described regarding spa & wellness. Would recommend to others.",1.0,Positive
431,2024-02-08,Spa & Wellness,4,"Quick response to our requests, very efficient regarding spa & wellness. Would recommend to others.",1.0,Positive
557,2024-02-09,Front Desk,4,Concierge went above and beyond to help us regarding front desk. Would recommend to others.,1.0,Positive
385,2024-02-09,Concierge,3,"Average experience overall, met basic expectations regarding concierge. Thank you to the team.",1.0,Positive
134,2024-02-09,F&B / Restaurant,3,"Location was convenient, hotel was as described regarding f&b / restaurant. Thank you to the team.",1.0,Positive
583,2024-02-09,F&B / Restaurant,3,"Location was convenient, hotel was as described regarding f&b / restaurant. Overall a decent trip.",0.0,Neutral
54,2024-02-11,Spa & Wellness,2,Long wait times at the restaurant regarding spa & wellness. Thank you to the team.,-0.333,Negative
314,2024-02-11,Concierge,5,"Quick response to our requests, very efficient regarding concierge. Overall a decent trip.",1.0,Positive
7,2024-02-11,F&B / Restaurant,5,Check-in was fast and seamless regarding f&b / restaurant.,1.0,Positive
511,2024-02-11,Housekeeping,4,The staff was incredibly friendly and helpful regarding housekeeping. Thank you to the team.,1.0,Positive
51,2024-02-15,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant. Would recommend to others.",1.0,Positive
350,2024-02-15,Front Desk,1,Billing error took days to resolve regarding front desk. Will definitely consider staying again.,-1.0,Negative
