review_id,date,department,rating,review_text
2,2024-01-02,Housekeeping,5,Check-in was fast and seamless regarding housekeeping.
53,2024-01-02,Front Desk,4,Room was spotless and beautifully maintained regarding front desk. Thank you to the team.
438,2024-01-02,F&B / Restaurant,5,The spa treatment was relaxing and professional regarding f&b / restaurant.
384,2024-01-03,Spa & Wellness,1,Billing error took days to resolve regarding spa & wellness. Thank you to the team.
531,2024-01-03,Housekeeping,4,Concierge went above and beyond to help us regarding housekeeping.
127,2024-01-06,Front Desk,3,"Stay was fine, nothing particularly memorable regarding front desk. Thank you to the team."
178,2024-01-07,Spa & Wellness,4,Breakfast selection was excellent and fresh regarding spa & wellness. Overall a decent trip.
399,2024-01-07,Spa & Wellness,5,Breakfast selection was excellent and fresh regarding spa & wellness. Overall a decent trip.
577,2024-01-07,Housekeeping,3,"Room was okay, standard hotel amenities regarding housekeeping. Will definitely consider staying again."
94,2024-01-08,F&B / Restaurant,5,Loved the attention to detail in the room regarding f&b / restaurant.
330,2024-01-08,F&B / Restaurant,5,Concierge went above and beyond to help us regarding f&b / restaurant. Thank you to the team.
59,2024-01-08,F&B / Restaurant,4,Room was spotless and beautifully maintained regarding f&b / restaurant. Thank you to the team.
71,2024-01-10,Concierge,1,Room was not properly cleaned upon arrival regarding concierge.
29,2024-01-10,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant."
56,2024-01-12,F&B / Restaurant,1,Staff seemed inattentive and slow to respond regarding f&b / restaurant.
250,2024-01-13,Housekeeping,3,"Average experience overall, met basic expectations regarding housekeeping. Overall a decent trip."
448,2024-01-13,Spa & Wellness,2,Check-in took far too long and felt disorganized regarding spa & wellness. Thank you to the team.
188,2024-01-13,Concierge,4,"Beautiful property, exceeded our expectations regarding concierge. Overall a decent trip."
258,2024-01-13,Housekeeping,4,"Beautiful property, exceeded our expectations regarding housekeeping."
571,2024-01-14,Concierge,5,"Quick response to our requests, very efficient regarding concierge."
206,2024-01-16,F&B / Restaurant,1,Towels and toiletries were not restocked regarding f&b / restaurant. Would recommend to others.
368,2024-01-16,Housekeeping,3,"Service was acceptable, no major issues regarding housekeeping."
539,2024-01-17,Concierge,5,"Beautiful property, exceeded our expectations regarding concierge. Would recommend to others."
25,2024-01-18,F&B / Restaurant,2,Room was not properly cleaned upon arrival regarding f&b / restaurant. Would recommend to others.
48,2024-01-19,Housekeeping,4,The spa treatment was relaxing and professional regarding housekeeping. Would recommend to others.
553,2024-01-19,Spa & Wellness,1,Noise from the hallway disturbed our sleep regarding spa & wellness. Overall a decent trip.
63,2024-01-19,Concierge,1,Towels and toiletries were not restocked regarding concierge.
341,2024-01-20,F&B / Restaurant,2,Long wait times at the restaurant regarding f&b / restaurant. Overall a decent trip.
20,2024-01-20,Concierge,4,Room was spotless and beautifully maintained regarding concierge. Will definitely consider staying again.
285,2024-01-21,F&B / Restaurant,1,Breakfast was cold and options were limited regarding f&b / restaurant. Overall a decent trip.
128,2024-01-21,Spa & Wellness,4,"Beautiful property, exceeded our expectations regarding spa & wellness. Will definitely consider staying again."
442,2024-01-21,Concierge,3,"Service was acceptable, no major issues regarding concierge."
286,2024-01-21,Housekeeping,3,"Room was okay, standard hotel amenities regarding housekeeping. Would recommend to others."
351,2024-01-22,F&B / Restaurant,4,Concierge went above and beyond to help us regarding f&b / restaurant.
563,2024-01-22,Housekeeping,3,"Room was okay, standard hotel amenities regarding housekeeping. Thank you to the team."
16,2024-01-22,Spa & Wellness,3,"Average experience overall, met basic expectations regarding spa & wellness."
230,2024-01-23,Housekeeping,1,Long wait times at the restaurant regarding housekeeping. Will definitely consider staying again.
198,2024-01-24,Housekeeping,5,Room was spotless and beautifully maintained regarding housekeeping. Would recommend to others.
506,2024-01-25,F&B / Restaurant,5,"Quick response to our requests, very efficient regarding f&b / restaurant."
348,2024-01-25,Concierge,3,"Stay was fine, nothing particularly memorable regarding concierge. Would recommend to others."
164,2024-01-26,Housekeeping,4,Check-in was fast and seamless regarding housekeeping.
131,2024-01-26,Spa & Wellness,5,The staff was incredibly friendly and helpful regarding spa & wellness.
207,2024-01-26,Spa & Wellness,4,Breakfast selection was excellent and fresh regarding spa & wellness. Would recommend to others.
204,2024-01-27,F&B / Restaurant,5,Loved the attention to detail in the room regarding f&b / restaurant. Thank you to the team.
138,2024-01-27,Front Desk,4,The spa treatment was relaxing and professional regarding front desk. Will definitely consider staying again.
322,2024-01-28,Front Desk,1,Requested items never arrived at our room regarding front desk. Overall a decent trip.
31,2024-01-29,Concierge,3,"Service was acceptable, no major issues regarding concierge. Will definitely consider staying again."
253,2024-01-30,Spa & Wellness,3,"Stay was fine, nothing particularly memorable regarding spa & wellness. Would recommend to others."
129,2024-02-01,Spa & Wellness,5,"Beautiful property, exceeded our expectations regarding spa & wellness. Thank you to the team."
425,2024-02-01,Front Desk,5,The staff was incredibly friendly and helpful regarding front desk.
266,2024-02-01,Concierge,4,Loved the attention to detail in the room regarding concierge. Would recommend to others.
22,2024-02-03,Front Desk,5,Staff greeted us warmly every single day regarding front desk. Will definitely consider staying again.
340,2024-02-04,Front Desk,4,Staff greeted us warmly every single day regarding front desk. Thank you to the team.
68,2024-02-05,Housekeeping,3,"Service was acceptable, no major issues regarding housekeeping. Thank you to the team."
44,2024-02-05,Concierge,5,"Quick response to our requests, very efficient regarding concierge. Thank you to the team."
10,2024-02-05,Housekeeping,4,Concierge went above and beyond to help us regarding housekeeping.
333,2024-02-05,Front Desk,3,"Room was okay, standard hotel amenities regarding front desk. Thank you to the team."
335,2024-02-05,Spa & Wellness,1,Air conditioning was not working properly regarding spa & wellness. Will definitely consider staying again.
83,2024-02-05,Concierge,4,Breakfast selection was excellent and fresh regarding concierge. Thank you to the team.
321,2024-02-07,Concierge,2,Requested items never arrived at our room regarding concierge.
446,2024-02-08,F&B / Restaurant,3,"Service was acceptable, no major issues regarding f&b / restaurant."
173,2024-02-08,Spa & Wellness,3,"Location was convenient, hotel was as described regarding spa & wellness. Would recommend to others."
431,2024-02-08,Spa & Wellness,4,"Quick response to our requests, very efficient regarding spa & wellness. Would recommend to others."
557,2024-02-09,Front Desk,4,Concierge went above and beyond to help us regarding front desk. Would recommend to others.
385,2024-02-09,Concierge,3,"Average experience overall, met basic expectations regarding concierge. Thank you to the team."
134,2024-02-09,F&B / Restaurant,3,"Location was convenient, hotel was as described regarding f&b / restaurant. Thank you to the team."
583,2024-02-09,F&B / Restaurant,3,"Location was convenient, hotel was as described regarding f&b / restaurant. Overall a decent trip."
54,2024-02-11,Spa & Wellness,2,Long wait times at the restaurant regarding spa & wellness. Thank you to the team.
314,2024-02-11,Concierge,5,"Quick response to our requests, very efficient regarding concierge. Overall a decent trip."
7,2024-02-11,F&B / Restaurant,5,Check-in was fast and seamless regarding f&b / restaurant.
511,2024-02-11,Housekeeping,4,The staff was incredibly friendly and helpful regarding housekeeping. Thank you to the team.
51,2024-02-15,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant. Would recommend to others."
350,2024-02-15,Front Desk,1,Billing error took days to resolve regarding front desk. Will definitely consider staying again.
264,2024-02-16,Front Desk,4,"Beautiful property, exceeded our expectations regarding front desk."
402,2024-02-16,Housekeeping,5,Breakfast selection was excellent and fresh regarding housekeeping. Overall a decent trip.
79,2024-02-17,Housekeeping,5,Room was spotless and beautifully maintained regarding housekeeping. Thank you to the team.
148,2024-02-17,Housekeeping,5,"Quick response to our requests, very efficient regarding housekeeping."
600,2024-02-18,Spa & Wellness,5,The spa treatment was relaxing and professional regarding spa & wellness.
453,2024-02-19,Spa & Wellness,4,"Beautiful property, exceeded our expectations regarding spa & wellness. Overall a decent trip."
165,2024-02-19,Front Desk,4,Check-in was fast and seamless regarding front desk. Overall a decent trip.
244,2024-02-21,F&B / Restaurant,5,Room was spotless and beautifully maintained regarding f&b / restaurant. Will definitely consider staying again.
432,2024-02-21,Spa & Wellness,4,Room was spotless and beautifully maintained regarding spa & wellness.
587,2024-02-21,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant. Would recommend to others."
101,2024-02-23,F&B / Restaurant,5,"Beautiful property, exceeded our expectations regarding f&b / restaurant."
92,2024-02-23,Spa & Wellness,3,"Average experience overall, met basic expectations regarding spa & wellness. Will definitely consider staying again."
24,2024-02-23,Spa & Wellness,3,"Location was convenient, hotel was as described regarding spa & wellness. Would recommend to others."
349,2024-02-26,F&B / Restaurant,1,Towels and toiletries were not restocked regarding f&b / restaurant. Would recommend to others.
12,2024-02-26,Housekeeping,5,Staff greeted us warmly every single day regarding housekeeping. Thank you to the team.
470,2024-02-27,Spa & Wellness,3,"Location was convenient, hotel was as described regarding spa & wellness. Would recommend to others."
219,2024-02-27,F&B / Restaurant,4,"Beautiful property, exceeded our expectations regarding f&b / restaurant. Thank you to the team."
434,2024-02-28,F&B / Restaurant,3,"Stay was fine, nothing particularly memorable regarding f&b / restaurant."
352,2024-02-28,Spa & Wellness,1,Noise from the hallway disturbed our sleep regarding spa & wellness. Thank you to the team.
168,2024-02-29,Concierge,4,Concierge went above and beyond to help us regarding concierge.
505,2024-02-29,Concierge,5,The spa treatment was relaxing and professional regarding concierge. Thank you to the team.
598,2024-02-29,Housekeeping,5,Loved the attention to detail in the room regarding housekeeping.
167,2024-03-01,Concierge,4,The staff was incredibly friendly and helpful regarding concierge. Would recommend to others.
119,2024-03-01,Housekeeping,3,"Stay was fine, nothing particularly memorable regarding housekeeping. Thank you to the team."
390,2024-03-01,Front Desk,3,"Service was acceptable, no major issues regarding front desk. Overall a decent trip."
369,2024-03-02,Concierge,4,The staff was incredibly friendly and helpful regarding concierge. Will definitely consider staying again.
193,2024-03-02,Housekeeping,5,The spa treatment was relaxing and professional regarding housekeeping. Will definitely consider staying again.
382,2024-03-03,F&B / Restaurant,5,"Quick response to our requests, very efficient regarding f&b / restaurant."
50,2024-03-04,Front Desk,3,"Location was convenient, hotel was as described regarding front desk. Will definitely consider staying again."
312,2024-03-05,Concierge,3,"Room was okay, standard hotel amenities regarding concierge."
376,2024-03-05,F&B / Restaurant,3,"Stay was fine, nothing particularly memorable regarding f&b / restaurant."
317,2024-03-05,F&B / Restaurant,5,"Quick response to our requests, very efficient regarding f&b / restaurant. Thank you to the team."
588,2024-03-05,Concierge,5,"Quick response to our requests, very efficient regarding concierge. Would recommend to others."
211,2024-03-07,Front Desk,3,"Service was acceptable, no major issues regarding front desk. Will definitely consider staying again."
82,2024-03-07,F&B / Restaurant,4,Staff greeted us warmly every single day regarding f&b / restaurant.
169,2024-03-08,Front Desk,5,The spa treatment was relaxing and professional regarding front desk. Thank you to the team.
497,2024-03-09,Front Desk,2,Staff seemed inattentive and slow to respond regarding front desk.
530,2024-03-09,Spa & Wellness,5,The staff was incredibly friendly and helpful regarding spa & wellness. Would recommend to others.
100,2024-03-10,Concierge,3,"Room was okay, standard hotel amenities regarding concierge."
520,2024-03-11,Front Desk,1,Towels and toiletries were not restocked regarding front desk.
38,2024-03-11,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant. Would recommend to others."
189,2024-03-12,F&B / Restaurant,1,Noise from the hallway disturbed our sleep regarding f&b / restaurant. Overall a decent trip.
160,2024-03-12,Concierge,3,"Service was acceptable, no major issues regarding concierge. Thank you to the team."
529,2024-03-12,Housekeeping,1,Room was not properly cleaned upon arrival regarding housekeeping. Will definitely consider staying again.
458,2024-03-14,Housekeeping,5,Staff greeted us warmly every single day regarding housekeeping. Would recommend to others.
275,2024-03-14,F&B / Restaurant,5,The spa treatment was relaxing and professional regarding f&b / restaurant. Will definitely consider staying again.
41,2024-03-15,Front Desk,1,Staff seemed inattentive and slow to respond regarding front desk. Would recommend to others.
21,2024-03-19,F&B / Restaurant,5,Concierge went above and beyond to help us regarding f&b / restaurant.
76,2024-03-19,Housekeeping,4,Staff greeted us warmly every single day regarding housekeeping. Overall a decent trip.
469,2024-03-19,F&B / Restaurant,2,Towels and toiletries were not restocked regarding f&b / restaurant. Would recommend to others.
132,2024-03-22,F&B / Restaurant,4,The spa treatment was relaxing and professional regarding f&b / restaurant. Overall a decent trip.
565,2024-03-22,Front Desk,2,Air conditioning was not working properly regarding front desk. Thank you to the team.
393,2024-03-23,Housekeeping,5,The staff was incredibly friendly and helpful regarding housekeeping. Thank you to the team.
105,2024-03-24,Concierge,5,The staff was incredibly friendly and helpful regarding concierge. Will definitely consider staying again.
268,2024-03-25,Spa & Wellness,4,Staff greeted us warmly every single day regarding spa & wellness.
112,2024-03-25,Front Desk,1,Towels and toiletries were not restocked regarding front desk.
581,2024-03-25,F&B / Restaurant,4,Breakfast selection was excellent and fresh regarding f&b / restaurant. Will definitely consider staying again.
85,2024-03-25,Concierge,4,Staff greeted us warmly every single day regarding concierge. Thank you to the team.
416,2024-03-26,Front Desk,5,Room was spotless and beautifully maintained regarding front desk. Will definitely consider staying again.
413,2024-03-26,F&B / Restaurant,3,"Room was okay, standard hotel amenities regarding f&b / restaurant."
440,2024-03-26,Spa & Wellness,4,Concierge went above and beyond to help us regarding spa & wellness. Will definitely consider staying again.
61,2024-03-27,Concierge,3,"Average experience overall, met basic expectations regarding concierge. Overall a decent trip."
62,2024-03-27,Front Desk,3,"Average experience overall, met basic expectations regarding front desk."
273,2024-03-30,Front Desk,2,Breakfast was cold and options were limited regarding front desk.
155,2024-03-31,F&B / Restaurant,5,Room was spotless and beautifully maintained regarding f&b / restaurant. Thank you to the team.
216,2024-04-01,Concierge,1,Billing error took days to resolve regarding concierge.
467,2024-04-02,Housekeeping,3,"Service was acceptable, no major issues regarding housekeeping. Thank you to the team."
251,2024-04-02,Spa & Wellness,3,"Room was okay, standard hotel amenities regarding spa & wellness."
104,2024-04-02,Spa & Wellness,2,Check-in took far too long and felt disorganized regarding spa & wellness. Would recommend to others.
437,2024-04-03,F&B / Restaurant,3,"Stay was fine, nothing particularly memorable regarding f&b / restaurant. Thank you to the team."
358,2024-04-03,Concierge,1,Long wait times at the restaurant regarding concierge.
483,2024-04-03,Spa & Wellness,4,Staff greeted us warmly every single day regarding spa & wellness. Thank you to the team.
550,2024-04-03,Spa & Wellness,5,Loved the attention to detail in the room regarding spa & wellness. Will definitely consider staying again.
400,2024-04-07,Front Desk,4,Concierge went above and beyond to help us regarding front desk.
147,2024-04-07,Concierge,1,Long wait times at the restaurant regarding concierge. Will definitely consider staying again.
503,2024-04-07,Concierge,4,"Beautiful property, exceeded our expectations regarding concierge. Overall a decent trip."
108,2024-04-07,Concierge,3,"Stay was fine, nothing particularly memorable regarding concierge."
492,2024-04-09,Spa & Wellness,5,Check-in was fast and seamless regarding spa & wellness. Overall a decent trip.
181,2024-04-09,F&B / Restaurant,4,The staff was incredibly friendly and helpful regarding f&b / restaurant. Overall a decent trip.
540,2024-04-10,Front Desk,3,"Location was convenient, hotel was as described regarding front desk. Thank you to the team."
404,2024-04-10,F&B / Restaurant,5,Check-in was fast and seamless regarding f&b / restaurant. Would recommend to others.
471,2024-04-11,Housekeeping,4,Concierge went above and beyond to help us regarding housekeeping. Thank you to the team.
182,2024-04-11,Housekeeping,4,Loved the attention to detail in the room regarding housekeeping.
227,2024-04-12,Housekeeping,3,"Average experience overall, met basic expectations regarding housekeeping. Thank you to the team."
86,2024-04-12,F&B / Restaurant,3,"Location was convenient, hotel was as described regarding f&b / restaurant. Would recommend to others."
121,2024-04-12,Concierge,5,"Beautiful property, exceeded our expectations regarding concierge. Would recommend to others."
512,2024-04-12,F&B / Restaurant,4,Check-in was fast and seamless regarding f&b / restaurant. Thank you to the team.
257,2024-04-14,F&B / Restaurant,3,"Average experience overall, met basic expectations regarding f&b / restaurant. Thank you to the team."
585,2024-04-14,Spa & Wellness,3,"Room was okay, standard hotel amenities regarding spa & wellness."
290,2024-04-16,F&B / Restaurant,5,Staff greeted us warmly every single day regarding f&b / restaurant.
502,2024-04-16,Concierge,5,"Quick response to our requests, very efficient regarding concierge. Would recommend to others."
327,2024-04-18,F&B / Restaurant,2,Room was not properly cleaned upon arrival regarding f&b / restaurant. Thank you to the team.
47,2024-04-19,Spa & Wellness,3,"Location was convenient, hotel was as described regarding spa & wellness."
428,2024-04-20,Spa & Wellness,4,Room was spotless and beautifully maintained regarding spa & wellness.
366,2024-04-20,Concierge,5,Breakfast selection was excellent and fresh regarding concierge.
328,2024-04-20,Housekeeping,3,"Location was convenient, hotel was as described regarding housekeeping. Would recommend to others."
118,2024-04-20,Spa & Wellness,3,"Service was acceptable, no major issues regarding spa & wellness. Will definitely consider staying again."
